SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       7.66      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF   96.05  INDEF  109.38  INDEF   -0.089    INDEF      INDEF    0.00000   -2.21    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.53       7.61    0.00297    0.0151    0.0107 0.8868    0.0086    2.22    0.51   96.05   0.00  109.38   0.02   -0.248    0.143      0.578    0.85475    -2.2  4.23E-4  4.23E-4       7.6562       7.6562   -2.21   -2.21      1      1   0.00367  0.0294    0.0583   0.044    0.0164  0.0304  -0.00771  0.0279    13     0    50     2   0.00152   2.0
     0.59       7.51     0.0122    0.0621    0.0439 0.6453    0.0397    2.42    2.69   96.15   0.01  109.44   0.03    -0.63    0.363      0.577    0.87536   -2.19  0.00176  0.00176       7.6562       7.6562   -2.21   -2.21      1      1    0.0196   0.046    0.0792  0.0626    0.0292  0.0422   -0.0607  0.0509    13     0    15     0   0.00377   2.0
     0.65       7.41     0.0234      0.12    0.0845 0.4382    0.0634    2.42    5.49   96.24   0.02  109.43   0.04    -1.09    0.544      0.497    0.89646   -2.17  0.00344  0.00343       7.6562       7.6562   -2.21   -2.21      1      1    0.0792  0.0569    0.0645  0.0509   0.00523  0.0289   -0.0888  0.0519    13     0    20     0   0.00716   2.0
     0.71       7.26     0.0286     0.146     0.103 0.1868    0.0846   10.90   14.80   96.37   0.03  109.44   0.04    -1.32    0.624      0.473    0.91808   -2.15  0.00429  0.00427       7.6562       7.6562   -2.21   -2.21      1      1    0.0582  0.0448     0.084  0.0522    0.0634  0.0316   -0.0803  0.0391    13     0    10     0   0.00319   2.0
     0.78       7.15      0.033     0.168     0.119 0.1570    0.0688   12.34   14.09   96.39   0.03  109.45   0.03    -1.76     0.59      0.334    0.94022   -2.14  0.00502    0.005       7.6562       7.6562   -2.21   -2.21      1      1    0.0384  0.0324    0.0614  0.0352    0.0668   0.023    -0.059  0.0204    13     0    10     0   7.00E-4   2.0
     0.86       7.03     0.0342     0.174     0.123 0.1678    0.0612    8.66   11.79   96.40   0.03  109.44   0.03    -1.85    0.547      0.296    0.96289   -2.12  0.00529  0.00527       7.6562       7.6562   -2.21   -2.21      1      1    0.0382  0.0309     0.043  0.0304    0.0452  0.0154   -0.0701   0.022    13     0    10     0   3.40E-4   2.0
     0.95       6.89     0.0351     0.179     0.127 0.1820    0.0528    5.76    9.45   96.41   0.03  109.44   0.03    -1.97    0.483      0.246    0.98611    -2.1  0.00555  0.00552       7.6562       7.6562   -2.21   -2.21      1      1     0.029  0.0275     0.032  0.0267    0.0226 0.00949   -0.0729  0.0194    13     0    10     0   1.04E-4   2.0
