SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00        9.3      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  130.86  INDEF   94.87  INDEF    -1.22    INDEF      INDEF    0.00000   -2.42    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       8.66     0.0156    0.0794    0.0561 0.0385    0.0776   60.36   60.84  130.86   0.02   94.87   0.02    -1.26    0.442      0.351    0.84958   -2.34  0.00195  0.00195       9.2969       9.2969   -2.42   -2.42      1      1    0.0678  0.0335    0.0612  0.0312    0.0421  0.0227   -0.0265  0.0188    13     0    10     0   0.00464   2.0
     0.57       8.61     0.0169    0.0864    0.0611 0.0581    0.0770   68.03   40.47  130.84   0.02   94.85   0.02    -1.23    0.439      0.356    0.87007   -2.34  0.00214  0.00213       9.2969       9.2969   -2.42   -2.42      1      1    0.0344   0.024    0.0916  0.0382    0.0492  0.0221   0.00962  0.0133    13     0    10     0   0.00226   2.0
     0.63       8.53     0.0214     0.109    0.0772 0.0130    0.0893   54.16  204.73  130.84   0.03   94.84   0.03    -1.28    0.502      0.393    0.89105   -2.33  0.00273  0.00272       9.2969       9.2969   -2.42   -2.42      1      1     0.081  0.0443    0.0394  0.0335    0.0282  0.0257   -0.0548  0.0309    13     0    10     0   0.00547   2.0
     0.69       8.47     0.0182    0.0926    0.0655 0.0484    0.0699   64.20   43.89  130.81   0.03   94.82   0.03    -1.21     0.39      0.321    0.91254   -2.32  0.00233  0.00233       9.2969       9.2969   -2.42   -2.42      1      1    0.0487  0.0245    0.0735  0.0298    0.0423  0.0189  -0.00769  0.0127    13     0    12     0   0.00367   2.0
     0.76       8.39     0.0254     0.129    0.0915 0.0269    0.0880   49.58   98.12  130.80   0.03   94.79   0.03    -1.25    0.478      0.381    0.93454   -2.31  0.00329  0.00328       9.2969       9.2969   -2.42   -2.42      1      1    0.0979  0.0463    0.0237  0.0278   0.00871  0.0198   -0.0572  0.0287    13     0    12     0   0.00333   2.0
     0.84        8.3     0.0248     0.126    0.0893 0.0349    0.0647   51.75   55.87  130.79   0.03   94.78   0.03     -1.5    0.391      0.261    0.95708    -2.3  0.00324  0.00323       9.2969       9.2969   -2.42   -2.42      1      1    0.0639   0.028     0.023  0.0225   0.00651  0.0181   -0.0408  0.0202    13     0    11     0   0.00173   2.0
     0.92       8.18     0.0206     0.105    0.0745 0.0389    0.0453   54.82   35.20  130.79   0.02   94.79   0.02    -1.62    0.298      0.184    0.98016   -2.28  0.00274  0.00274       9.2969       9.2969   -2.42   -2.42      1      1    0.0301  0.0199    0.0151  0.0185   0.00542  0.0185   -0.0146  0.0178    13     0    19     0   0.00312   2.0
