SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       19.8      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  104.94  INDEF  143.51  INDEF    -0.33    INDEF      INDEF    0.00000   -3.24    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       19.6    0.00823     0.042    0.0297 0.8492    0.0084   -1.63    0.51  104.94   0.00  143.51   0.01    -0.97    0.643      0.663    0.84958   -3.23  4.56E-4  4.56E-4       19.781       19.781   -3.24   -3.24      1      1   -0.0238  0.0293  -0.00834  0.0244  -0.00969  0.0247   -0.0194  0.0261    13     0    43     0    0.0022   2.0
     0.57       19.4     0.0471      0.24      0.17 0.5011    0.0564   -4.06    4.45  104.79   0.02  143.50   0.03    -2.47     1.53      0.618    0.87007   -3.22  0.00264  0.00264       19.625       19.625   -3.23   -3.23      1      1   -0.0728  0.0642    0.0323  0.0483  -0.00978  0.0406   -0.0674  0.0566    13     0    31     0    0.0127   2.0
     0.63       19.1     0.0792     0.404     0.286 0.1498    0.0896  -30.91   19.16  104.61   0.03  143.49   0.03    -4.06     1.99      0.489    0.89105    -3.2  0.00451  0.00449       19.625       19.625   -3.23   -3.23      1      1    0.0362  0.0435    0.0797  0.0546   -0.0993  0.0505    0.0574  0.0311    13     0    12     0     0.015   2.0
     0.69       18.7     0.0913     0.466     0.329 0.0731    0.0722  -52.15   30.38  104.57   0.03  143.49   0.03    -5.76     1.96       0.34    0.91254   -3.18  0.00531  0.00528       19.625       19.625   -3.23   -3.23      1      1    0.0294  0.0362   0.00714  0.0336    0.0431  0.0173     0.095  0.0335    13     0    10     0   0.00102   2.0
     0.76       18.3     0.0955     0.487     0.344 0.0701    0.0674  -53.94   29.51  104.58   0.03  143.49   0.03     -5.9     1.84      0.311    0.93454   -3.16  0.00568  0.00565       19.625       19.625   -3.23   -3.23      1      1    0.0282  0.0336   0.00219  0.0311    0.0559  0.0188    0.0818  0.0264    13     0    10     0   7.14E-4   2.0
     0.84       17.9      0.103     0.526     0.372 0.0683    0.0633  -55.34   28.41  104.58   0.03  143.49   0.03    -6.18     1.74      0.282    0.95708   -3.13  0.00629  0.00625       19.625       19.625   -3.23   -3.23      1      1    0.0261  0.0312  -0.00197  0.0292    0.0636  0.0188    0.0697  0.0204    13     0    10     0   1.66E-4   2.0
     0.92       17.3      0.104     0.529     0.374 0.0603    0.0559  -57.34   28.32  104.58   0.03  143.49   0.03    -6.42     1.57      0.245    0.98016    -3.1  0.00653  0.00649       19.625       19.625   -3.23   -3.23      1      1    0.0173  0.0273  -0.00406   0.026    0.0669  0.0172    0.0512  0.0135    13     0    10     0    0.0313   2.0
