SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       3.41      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  102.96  INDEF  100.73  INDEF   -0.502    INDEF      INDEF    0.00000   -1.33    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       3.15     0.0107    0.0544    0.0385 0.4373    0.0645    0.26    5.59  102.96   0.02  100.73   0.03   -0.609    0.318      0.523    0.84958   -1.25  0.00368  0.00367       3.4102       3.4102   -1.33   -1.33      1      1   -0.0243   0.027    -0.143  0.0782  -0.00451  0.0225   -0.0257  0.0252    13     0    10     0   3.73E-5   2.0
     0.57       3.12     0.0118    0.0602    0.0425 0.4379    0.0649    0.47    5.62  102.96   0.02  100.71   0.03   -0.608     0.32      0.526    0.87007   -1.24  0.00411  0.00409       3.4102       3.4102   -1.33   -1.33      1      1   -0.0227  0.0268    -0.144  0.0793  -0.00503  0.0228   -0.0247  0.0252    13     0    10     0   3.43E-5   2.0
     0.63       3.09     0.0131    0.0667    0.0472 0.4395    0.0643    0.72    5.55  102.96   0.02  100.68   0.04   -0.618    0.319      0.516    0.89105   -1.23   0.0046  0.00458       3.4102       3.4102   -1.33   -1.33      1      1   -0.0204  0.0261    -0.143  0.0774  -0.00553  0.0229   -0.0234  0.0248    13     0    10     0   1.57E-4   2.0
     0.69       3.04     0.0129    0.0657    0.0464 0.4008    0.0531    1.86    4.91  102.95   0.02  100.65   0.03   -0.715    0.272      0.381    0.91254   -1.21  0.00461  0.00459       3.4102       3.4102   -1.33   -1.33      1      1   -0.0171  0.0157    -0.116  0.0463  -0.00631  0.0135   -0.0156   0.014    13     0    10     0   3.04E-4   2.0
     0.76       2.96     0.0119    0.0609    0.0431 0.3147    0.0452    3.75    5.05  102.94   0.02  100.64   0.03    -0.81    0.237      0.292    0.93454   -1.18  0.00439  0.00437       3.4102       3.4102   -1.33   -1.33      1      1   -0.0156  0.0105   -0.0873  0.0271  -0.00596 0.00889   -0.0105 0.00887    13     0    10     0   0.00111   2.0
     0.84       2.85      0.014    0.0712    0.0504 0.1995    0.0492    5.75    8.12  102.92   0.02  100.64   0.03   -0.923    0.257      0.279    0.95708   -1.14  0.00534  0.00531       3.4102       3.4102   -1.33   -1.33      1      1  -0.00611  0.0162   -0.0714  0.0252   -0.0155  0.0159   0.00514  0.0147    13     0    10     0   8.81E-4   2.0
     0.92       2.72     0.0131    0.0666    0.0471 0.0943    0.0435   15.60   14.33  102.90   0.02  100.63   0.02      -1.    0.205      0.205    0.98016   -1.09  0.00522   0.0052       3.4102       3.4102   -1.33   -1.33      1      1   0.00966  0.0129   -0.0544  0.0166  -0.00133  0.0125    0.0079  0.0121    13     0    10     0   0.00331   2.0
