SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       15.9      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  148.04  INDEF  115.94  INDEF    -5.43    INDEF      INDEF    0.00000     -3.    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52        13.     0.0718     0.366     0.259 0.1141    0.0805    0.74   22.16  148.04   0.02  115.94   0.02    -5.18     2.02       0.39    0.84958   -2.79    0.006  0.00596       15.875       15.875     -3.     -3.      1      1    0.0203   0.041   -0.0321  0.0406  -0.00529  0.0163     0.111  0.0461    13     0    10     0   0.00491   2.0
     0.57       12.8     0.0743     0.379     0.268 0.1109    0.0767    2.27   21.68  148.04   0.02  115.94   0.02    -5.13      1.9      0.371    0.87007   -2.77  0.00634   0.0063       15.875       15.875     -3.     -3.      1      1    0.0234  0.0393   -0.0255   0.038   -0.0133  0.0155     0.106  0.0417    13     0    10     0   0.00211   2.0
     0.63       12.5     0.0749     0.382      0.27 0.1055    0.0714    3.44   21.15  148.05   0.02  115.93   0.03    -5.08     1.74      0.343    0.89105   -2.74  0.00655  0.00651       15.875       15.875     -3.     -3.      1      1    0.0252  0.0364   -0.0218  0.0348   -0.0192  0.0141    0.0977  0.0355    13     0    10     0   0.00208   2.0
     0.69       12.1     0.0753     0.384     0.271 0.1002    0.0663    4.67   20.63  148.06   0.02  115.92   0.03    -5.03     1.59      0.315    0.91254   -2.71  0.00676  0.00672       15.875       15.875     -3.     -3.      1      1    0.0269  0.0336   -0.0181  0.0317   -0.0249  0.0129    0.0893  0.0298    13     0    10     0   0.00212   2.0
     0.76       11.8     0.0753     0.384     0.272 0.0950    0.0615    5.98   20.13  148.06   0.02  115.91   0.03    -4.96     1.44       0.29    0.93454   -2.68  0.00697  0.00693       15.875       15.875     -3.     -3.      1      1    0.0286  0.0309   -0.0144  0.0289   -0.0304   0.012    0.0804  0.0246    13     0    10     0   0.00216   2.0
     0.84       11.4     0.0753     0.384     0.272 0.0896    0.0567    7.44   19.63  148.07   0.02  115.90   0.03    -4.92     1.29      0.262    0.95708   -2.64  0.00721  0.00716       15.875       15.875     -3.     -3.      1      1    0.0302  0.0281   -0.0103  0.0261   -0.0356  0.0113    0.0705  0.0194    13     0    10     0   0.00247   2.0
     0.92       10.9     0.0744     0.379     0.268 0.0794    0.0509    9.45   19.78  148.08   0.02  115.90   0.03    -4.98     1.11      0.224    0.98016    -2.6  0.00741  0.00736       15.875       15.875     -3.     -3.      1      1    0.0313  0.0246  -0.00287  0.0227   -0.0408  0.0104    0.0562  0.0135    13     0    10     0   0.00608   2.0
