SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       7.98      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF   76.23  INDEF   63.96  INDEF    -1.48    INDEF      INDEF    0.00000   -2.26    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       7.21     0.0226     0.115    0.0816 0.2940    0.0664   87.90    7.84   76.23   0.02   63.96   0.02    -1.58    0.691      0.439    0.84958   -2.15  0.00341   0.0034       7.9844       7.9844   -2.26   -2.26      1      1   -0.0342  0.0222    -0.119  0.0545   -0.0131  0.0163    0.0129  0.0156    13     0    10     0   1.36E-4   2.0
     0.57       7.14     0.0246     0.125    0.0886 0.2950    0.0659   87.64    7.76   76.25   0.03   63.95   0.02    -1.57    0.682      0.436    0.87007   -2.13  0.00374  0.00373       7.9844       7.9844   -2.26   -2.26      1      1   -0.0356  0.0223    -0.118  0.0538   -0.0124  0.0161    0.0111  0.0152    13     0    10     0   1.17E-4   2.0
     0.63       7.06     0.0267     0.136    0.0963 0.2965    0.0652   87.32    7.65   76.28   0.03   63.94   0.02    -1.56    0.671      0.431    0.89105   -2.12  0.00411   0.0041       7.9844       7.9844   -2.26   -2.26      1      1   -0.0371  0.0224    -0.117  0.0526   -0.0116  0.0158   0.00889  0.0149    13     0    10     0   1.22E-4   2.0
     0.69       6.98      0.029     0.148     0.104 0.2984    0.0595   86.94    6.95   76.31   0.03   63.94   0.02    -1.68    0.628      0.374    0.91254   -2.11  0.00452   0.0045       7.9844       7.9844   -2.26   -2.26      1      1   -0.0359  0.0196    -0.107  0.0422  -0.00975  0.0143   0.00589  0.0134    13     0    10     0   2.47E-4   2.0
     0.76       6.81     0.0291     0.149     0.105 0.2372    0.0510   87.01    7.23   76.33   0.03   63.92   0.02    -1.95    0.533      0.274    0.93454   -2.08  0.00465  0.00463       7.9844       7.9844   -2.26   -2.26      1      1   -0.0355  0.0181   -0.0754  0.0254  -0.00386  0.0154   2.28E-4  0.0146    13     0    10     0   0.00122   2.0
     0.84       6.62     0.0245     0.125    0.0885 0.1807    0.0413   81.90    7.44   76.34   0.02   63.91   0.02    -1.98    0.431      0.218    0.95708   -2.05  0.00403  0.00402       7.9844       7.9844   -2.26   -2.26      1      1   -0.0387   0.019   -0.0319  0.0178   0.00651  0.0171   1.68E-4  0.0162    13     0    10     0   0.00102   2.0
     0.92       6.39     0.0276     0.141    0.0994 0.1083    0.0425   74.62   12.30   76.36   0.02   63.90   0.02    -2.13     0.44      0.206    0.98016   -2.01   0.0047  0.00468       7.9844       7.9844   -2.26   -2.26      1      1     -0.05  0.0185  -0.00621  0.0149    0.0107  0.0146   -0.0123   0.014    13     0    10     0   0.00268   2.0
