SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00        8.3      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  152.06  INDEF   86.91  INDEF    -1.17    INDEF      INDEF    0.00000    -2.3    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       7.69     0.0187    0.0952    0.0673 0.0767    0.0969  -29.36   38.94  152.06   0.03   86.91   0.03    -1.16    0.534      0.458    0.84958   -2.21  0.00264  0.00263       8.2969       8.2969    -2.3    -2.3      1      1   -0.0638  0.0507   -0.0491  0.0457     0.105   0.051   -0.0518  0.0284    13     0    10     0   4.76E-4   2.0
     0.57       7.61     0.0165    0.0843    0.0596 0.0563    0.0779  -46.56   42.19  152.07   0.02   86.91   0.02    -1.19    0.428       0.36    0.87007    -2.2  0.00236  0.00236       8.2969       8.2969    -2.3    -2.3      1      1   -0.0669    0.04  -0.00159  0.0307   -0.0159   0.012   -0.0906  0.0341    13     0    13     0   0.00386   2.0
     0.63       7.56     0.0213     0.109    0.0768 0.0828    0.0920  -27.66   34.35  152.07   0.03   86.90   0.03    -1.15    0.505       0.44    0.89105    -2.2  0.00306  0.00305       8.2969       8.2969    -2.3    -2.3      1      1   -0.0515  0.0461   -0.0524   0.045     0.108  0.0497   -0.0422  0.0235    13     0    50     2   0.00355   2.0
     0.69       7.49     0.0234     0.119    0.0845 0.0828    0.0924  -27.66   34.49  152.07   0.03   86.89   0.03    -1.14    0.505      0.442    0.91254   -2.19   0.0034  0.00339       8.2969       8.2969    -2.3    -2.3      1      1   -0.0524  0.0465   -0.0519   0.045     0.108  0.0501   -0.0423  0.0237    13     0    15     0   0.00484   2.0
     0.76       7.41     0.0219     0.112     0.079 0.0828    0.0780  -44.39   29.10  152.09   0.03   86.89   0.03    -1.15    0.428      0.371    0.93454   -2.17  0.00322  0.00321       8.2969       8.2969    -2.3    -2.3      1      1   -0.0713  0.0417  -0.00831  0.0311   0.00122  0.0111   -0.0916  0.0356    13     0    15     0   0.00605   2.0
     0.84       7.32      0.023     0.117    0.0828 0.0923    0.0744  -46.15   25.04  152.09   0.03   86.88   0.03    -1.14    0.406      0.357    0.95708   -2.16  0.00341   0.0034       8.2969       8.2969    -2.3    -2.3      1      1   -0.0682  0.0397  -0.00309  0.0301   -0.0129  0.0106     -0.09  0.0334    13     0    14     0   0.00134   2.0
     0.92       7.24     0.0248     0.126    0.0893 0.1046    0.0628  -46.38   18.77  152.10   0.03   86.88   0.03     -1.3    0.348      0.267    0.98016   -2.15  0.00372  0.00371       8.2969       8.2969    -2.3    -2.3      1      1   -0.0585   0.031  -0.00258  0.0257   -0.0128 0.00854   -0.0771  0.0219    13     0    50     2   0.00215   2.0
