SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       3.79      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  115.66  INDEF   81.18  INDEF   -0.338    INDEF      INDEF    0.00000   -1.45    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       3.61     0.0106    0.0539    0.0381 0.2057    0.1038  -88.21   16.66  115.66   0.03   81.18   0.03    -0.53    0.309      0.584    0.84958   -1.39  0.00319  0.00318       3.7852       3.7852   -1.45   -1.45      1      1   -0.0772  0.0539    -0.144  0.0889    0.0145  0.0213   -0.0654  0.0425    13     0    10     0   8.84E-4   2.0
     0.57       3.59     0.0115    0.0588    0.0415 0.1850    0.1041  -87.11   18.36  115.63   0.04   81.20   0.03   -0.537    0.307      0.572    0.87007   -1.39  0.00349  0.00348       3.7852       3.7852   -1.45   -1.45      1      1   -0.0687  0.0481    -0.146  0.0878    0.0179  0.0209   -0.0608  0.0389    13     0    10     0   0.00167   2.0
     0.63       3.55     0.0131    0.0667    0.0471 0.0634    0.0970   89.10   46.79  115.60   0.03   81.25   0.03   -0.673    0.317      0.471    0.89105   -1.38  0.00401  0.00399       3.7852       3.7852   -1.45   -1.45      1      1    0.0821   0.047    0.0942  0.0512  -0.00358  0.0137   -0.0695  0.0352    13     0    50     2   0.00878   2.0
     0.69       3.52     0.0155    0.0788    0.0557 0.0634    0.0936  -24.28   45.13  115.59   0.03   81.28   0.03   -0.758    0.321      0.424    0.91254   -1.37  0.00477  0.00475       3.7852       3.7852   -1.45   -1.45      1      1    0.0489  0.0332     0.108  0.0521    -0.066  0.0317     0.011  0.0149    13     0    12     0   0.00396   2.0
     0.76       3.47     0.0136    0.0691    0.0489 0.0601    0.0604   -3.83   30.68  115.58   0.02   81.29   0.02   -0.943    0.247      0.262    0.93454   -1.35  0.00425  0.00424       3.7852       3.7852   -1.45   -1.45      1      1   -0.0317  0.0234    0.0525  0.0251   -0.0044  0.0133   -0.0529  0.0188    13     0    10     0   0.00164   2.0
     0.84        3.4     0.0142    0.0726    0.0513 0.0812    0.0576    2.88   21.91  115.59   0.02   81.27   0.03   -0.923    0.265      0.287    0.95708   -1.33  0.00455  0.00453       3.7852       3.7852   -1.45   -1.45      1      1   -0.0422  0.0283   0.00921  0.0247    0.0279  0.0162    -0.058  0.0214    13     0    10     0   4.07E-5   2.0
     0.92       3.33      0.018    0.0918    0.0649 0.0893    0.0592    4.98   20.55  115.59   0.03   81.27   0.03    -1.02    0.279      0.273    0.98016   -1.31  0.00588  0.00585       3.7852       3.7852   -1.45   -1.45      1      1   -0.0278  0.0294   -0.0158  0.0276    0.0352  0.0198   -0.0578  0.0228    13     0    10     0   0.00381   2.0
