SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       3.67      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF   72.04  INDEF   79.18  INDEF   -0.407    INDEF      INDEF    0.00000   -1.41    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       3.46    0.00958    0.0488    0.0345 0.3461    0.0911    1.40    9.43   72.04   0.02   79.18   0.04    -0.45    0.274      0.609    0.84958   -1.35  0.00301    0.003        3.668        3.668   -1.41   -1.41      1      1    0.0232  0.0425     0.153   0.101   0.00263   0.035      0.06  0.0494    13     0    10     0   2.00E-5   2.0
     0.57       3.43     0.0106    0.0542    0.0383 0.3438    0.0910    1.54    9.47   72.04   0.03   79.20   0.04   -0.456    0.275      0.604    0.87007   -1.34  0.00336  0.00335        3.668        3.668   -1.41   -1.41      1      1    0.0222  0.0419     0.153  0.0998   0.00241  0.0345    0.0605  0.0491    13     0    10     0   1.57E-5   2.0
     0.63       3.41     0.0118      0.06    0.0424 0.3401    0.0912    1.82    9.57   72.04   0.03   79.22   0.04   -0.461    0.276      0.599    0.89105   -1.33  0.00375  0.00374        3.668        3.668   -1.41   -1.41      1      1    0.0203   0.041     0.153  0.0992   0.00131  0.0338    0.0607  0.0486    13     0    10     0   3.04E-4   2.0
     0.69       3.38     0.0129    0.0657    0.0464 0.3344    0.0912    2.52    9.70   72.04   0.03   79.23   0.05   -0.463    0.275      0.594    0.91254   -1.32  0.00415  0.00413        3.668        3.668   -1.41   -1.41      1      1    0.0167   0.039     0.155  0.0988  -0.00368  0.0323    0.0598   0.047    13     0    10     0   6.59E-4   2.0
     0.76       3.34     0.0136    0.0693     0.049 0.3165    0.0715    3.90    7.95   72.05   0.03   79.26   0.04    -0.58    0.241      0.415    0.93454   -1.31  0.00442  0.00441        3.668        3.668   -1.41   -1.41      1      1   0.00626  0.0269     0.123  0.0571   -0.0118   0.023    0.0425  0.0278    13     0    10     0   0.00211   2.0
     0.84       3.27      0.012    0.0611    0.0432 0.2227    0.0604    7.64    9.04   72.06   0.03   79.26   0.03   -0.627    0.195      0.311    0.95708   -1.28  0.00399  0.00397        3.668        3.668   -1.41   -1.41      1      1  -0.00247  0.0202    0.0906  0.0342   -0.0268  0.0171    0.0312  0.0172    13     0    10     0   0.00108   2.0
     0.92       3.19     0.0115    0.0586    0.0414 0.1382    0.0529   11.40   12.19   72.07   0.03   79.26   0.03   -0.691     0.18      0.261    0.98016   -1.26  0.00392  0.00391        3.668        3.668   -1.41   -1.41      1      1   -0.0127  0.0187    0.0645  0.0244   -0.0375  0.0163    0.0152  0.0131    13     0    10     0   0.00126   2.0
