SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       4.95      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF   51.50  INDEF   54.99  INDEF  -0.0579    INDEF      INDEF    0.00000   -1.74    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       4.92    5.14E-4   0.00262   0.00185 0.9128    0.0015   89.25    0.09   51.50   0.00   54.99   0.00   -0.198    0.133      0.674    0.84958   -1.73  1.14E-4  1.13E-4       4.9453       4.9453   -1.74   -1.74      1      1  -0.00345 0.00754  -0.00843 0.00893  -0.00421  0.0076  -0.00211 0.00687    13     0    39     0   1.51E-4   2.0
     0.57       4.86     0.0029    0.0148    0.0105 0.7972    0.0092   88.96    0.57   51.51   0.01   54.99   0.00    -0.38    0.191      0.502    0.87007   -1.72  6.50E-4  6.49E-4       4.9453       4.9453   -1.74   -1.74      1      1    -0.017   0.022  -0.00662  0.0198  -0.00927  0.0201   -0.0153  0.0202    13     0    21     0   8.57E-4   2.0
     0.63       4.76    0.00793    0.0404    0.0286 0.6236    0.0270   88.96    1.87   51.50   0.02   54.98   0.01   -0.595     0.27      0.453    0.89105   -1.69  0.00181  0.00181       4.9609       4.9609   -1.74   -1.74      1      1   -0.0273  0.0345   8.77E-5  0.0309   0.00597  0.0285   -0.0461  0.0342    13     0    11     0    0.0022   2.0
     0.69       4.64     0.0101    0.0516    0.0365 0.4285    0.0342   88.96    3.01   51.51   0.02   54.95   0.01   -0.829    0.285      0.343    0.91254   -1.67  0.00237  0.00236       4.9453       4.9453   -1.74   -1.74      1      1   0.00445  0.0277  -9.94E-4  0.0266    0.0121  0.0171   -0.0658  0.0276    13     0    11     0   0.00286   2.0
     0.76        4.5     0.0107    0.0546    0.0386 0.2382    0.0348   84.60    4.92   51.51   0.02   54.94   0.01    -1.05    0.264      0.252    0.93454   -1.63  0.00259  0.00258       4.9453       4.9453   -1.74   -1.74      1      1  -0.00969  0.0203    0.0177  0.0199   -0.0156  0.0121   -0.0487  0.0164    13     0    13     0   0.00163   2.0
     0.84       4.35     0.0122    0.0621    0.0439 0.0868    0.0361   75.03   12.87   51.52   0.02   54.92   0.02    -1.25    0.237      0.189    0.95708    -1.6  0.00305  0.00304       4.9453       4.9453   -1.74   -1.74      1      1   -0.0143  0.0178   0.00635   0.017   -0.0184  0.0152   -0.0239  0.0149    13     0    10     0   9.69E-4   2.0
     0.92       4.24     0.0132    0.0675    0.0478 0.0589    0.0365   30.61   18.91   51.52   0.02   54.92   0.02    -1.26    0.241      0.191    0.98016   -1.57   0.0034  0.00339       4.9453       4.9453   -1.74   -1.74      1      1    0.0208  0.0172   0.00191  0.0161   0.00615  0.0159    0.0157  0.0154    13     0    10     0    0.0021   2.0
