SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       3.86      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF   77.03  INDEF   69.95  INDEF   -0.966    INDEF      INDEF    0.00000   -1.47    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.53       3.34     0.0118    0.0603    0.0427 0.1404    0.0699    7.79   15.86   77.03   0.02   69.95   0.02    -0.93    0.329      0.353    0.85475   -1.31  0.00385  0.00384       3.8555       3.8555   -1.47   -1.47      1      1    0.0207  0.0377  -0.00882  0.0357   -0.0535  0.0201    0.0953  0.0343    13     0    10     0   2.24E-4   2.0
     0.59       3.29     0.0126    0.0642    0.0454 0.1366    0.0683    8.97   15.89   77.03   0.02   69.95   0.02   -0.925    0.317      0.343    0.87536   -1.29  0.00416  0.00415       3.8555       3.8555   -1.47   -1.47      1      1    0.0221  0.0367   -0.0052  0.0346   -0.0597  0.0214    0.0883  0.0309    13     0    10     0   2.28E-4   2.0
     0.65       3.23     0.0135    0.0688    0.0486 0.1333    0.0673   10.20   16.03   77.04   0.02   69.95   0.03   -0.918    0.309      0.336    0.89646   -1.27  0.00454  0.00452       3.8555       3.8555   -1.47   -1.47      1      1    0.0236  0.0361  -0.00165  0.0338   -0.0659  0.0231     0.081   0.028    13     0    10     0   2.09E-4   2.0
     0.71       3.17     0.0146    0.0744    0.0526 0.1306    0.0669   11.48   16.25   77.04   0.02   69.94   0.03    -0.91    0.303      0.333    0.91808   -1.25    0.005  0.00498       3.8555       3.8555   -1.47   -1.47      1      1     0.025  0.0358    0.0018  0.0335   -0.0721  0.0252    0.0735  0.0255    13     0    10     0   2.02E-4   2.0
     0.78       3.11     0.0159    0.0811    0.0574 0.1285    0.0673   12.80   16.58   77.05   0.03   69.94   0.03     -0.9      0.3      0.333    0.94022   -1.23  0.00557  0.00554       3.8555       3.8555   -1.47   -1.47      1      1    0.0264  0.0359   0.00498  0.0335    -0.078  0.0276    0.0658  0.0236    13     0    10     0   9.25E-5   2.0
     0.86       3.04     0.0175     0.089    0.0629 0.1276    0.0679   14.09   16.84   77.06   0.03   69.93   0.03    -0.89    0.297      0.334    0.96289   -1.21  0.00625  0.00622       3.8555       3.8555   -1.47   -1.47      1      1    0.0275  0.0361   0.00775  0.0337    -0.083  0.0299    0.0582  0.0222    13     0    10     0   2.53E-5   2.0
     0.95       2.97     0.0188    0.0958    0.0677 0.1287    0.0636   15.33   15.64   77.06   0.03   69.92   0.03   -0.929    0.282      0.303    0.98611   -1.18   0.0069  0.00686       3.8555       3.8555   -1.47   -1.47      1      1     0.025  0.0336   0.00923  0.0316   -0.0814  0.0275    0.0465  0.0182    13     0    10     0   2.69E-4   2.0
