SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       5.04      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  142.12  INDEF  138.28  INDEF   -0.454    INDEF      INDEF    0.00000   -1.76    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52        4.8    0.00975    0.0497    0.0351 0.4350    0.0659    1.00    5.74  142.12   0.02  138.28   0.03   -0.547    0.299      0.547    0.84958    -1.7  0.00221   0.0022       5.0391       5.0391   -1.76   -1.76      1      1    0.0613   0.043     0.131  0.0764  -0.00724  0.0227   -0.0452  0.0327    13     0    10     0   6.55E-5   2.0
     0.57       4.78     0.0107    0.0545    0.0386 0.4367    0.0660    1.19    5.73  142.13   0.02  138.31   0.03   -0.544    0.298      0.549    0.87007    -1.7  0.00243  0.00243       5.0391       5.0391   -1.76   -1.76      1      1    0.0599  0.0426     0.132  0.0771  -0.00662  0.0231   -0.0451  0.0329    13     0    10     0   6.86E-5   2.0
     0.63       4.76     0.0117    0.0598    0.0423 0.4409    0.0610    1.39    5.26  142.14   0.02  138.34   0.03   -0.581    0.284      0.489    0.89105   -1.69  0.00268  0.00267       5.0391       5.0391   -1.76   -1.76      1      1     0.054  0.0368     0.123  0.0651  -0.00556  0.0219    -0.042  0.0291    13     0    10     0   2.77E-4   2.0
     0.69       4.68     0.0128    0.0652    0.0461 0.3246    0.0576    4.13    6.27  142.18   0.02  138.37   0.03   -0.735    0.281      0.382    0.91254   -1.68  0.00297  0.00296       5.0391       5.0391   -1.76   -1.76      1      1    0.0445  0.0245    0.0996  0.0417   0.00177   0.011   -0.0419  0.0191    13     0    10     0   0.00328   2.0
     0.76        4.6     0.0171    0.0871    0.0616 0.1865    0.0725    9.20   12.70  142.23   0.03  138.38   0.03   -0.843    0.327      0.387    0.93454   -1.66  0.00404  0.00403       5.0391       5.0391   -1.76   -1.76      1      1    0.0387  0.0265     0.101  0.0443    0.0219  0.0147   -0.0504  0.0226    13     0    50     2    0.0143   2.0
     0.84       4.52     0.0182    0.0927    0.0656 0.1318    0.0647   12.14   15.57  142.27   0.03  138.39   0.03   -0.992    0.312      0.314    0.95708   -1.64  0.00438  0.00436       5.0391       5.0391   -1.76   -1.76      1      1    0.0433  0.0236    0.0776  0.0306    0.0176  0.0141   -0.0392  0.0174    13     0    10     0   8.51E-4   2.0
     0.92       4.43     0.0183    0.0934    0.0661 0.1279    0.0551   15.71   13.62  142.27   0.03  138.39   0.03    -1.07    0.273      0.254    0.98016   -1.62  0.00449  0.00448       5.0391       5.0391   -1.76   -1.76      1      1    0.0335  0.0215    0.0579   0.024    0.0252  0.0173   -0.0246  0.0166    13     0    10     0   7.36E-4   2.0
