SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     2.18       3.39      0.014    0.0712    0.0503 0.1325    0.0107  -85.04    2.50  124.63   0.01   85.01   0.01    -1.79   0.0942     0.0526    1.21459   -1.33  0.00448  0.00446       56.488       62.633   -4.38   -4.49     11     13   0.00832 0.00484  -0.00268  0.0048   0.00808 0.00373  -0.00525 0.00371    13     0    10     0   4.35E-4   2.0
     2.39       3.02     0.0133    0.0704    0.0498 0.1397    0.0115  -83.51    2.55  124.61   0.02   85.01   0.01    -1.41   0.0655     0.0464    1.24388    -1.2   0.0048  0.00478       75.242       86.371   -4.69   -4.84     17     21   6.68E-4  0.0059  -0.00453 0.00588   0.00879 0.00448   -0.0092 0.00447    14     0    10     0   1.24E-4   2.0
     2.63       2.68    0.00852    0.0482    0.0341 0.1395    0.0075  -82.96    1.72  124.60   0.01   85.01   0.01     -1.2   0.0554      0.046    1.27387   -1.07  0.00346  0.00345       86.371       86.371   -4.84   -4.84     21     21   1.03E-4 0.00416   0.00131 0.00397   7.36E-4 0.00403   0.00371 0.00382    16     0    10     0   3.40E-4   2.0
     2.90       2.39    0.00816    0.0476    0.0336 0.1518    0.0077  -82.80    1.61  124.59   0.01   84.99   0.01      -1.   0.0443     0.0442    1.30459  -0.944  0.00372  0.00371       86.371       94.766   -4.84   -4.94     21     25  -0.00109 0.00419   0.00325 0.00412  -0.00463 0.00189    0.0129 0.00193    17     0    10     0   2.69E-4   2.0
     3.19       2.12    0.00721    0.0444    0.0314 0.1663    0.0067  -81.88    1.32  124.59   0.01   84.99   0.01   -0.882   0.0367     0.0416    1.33605  -0.815   0.0037  0.00369       99.678       117.59     -5.   -5.18     27     37  -0.00177 0.00388   0.00188 0.00372  -0.00305 0.00203    0.0123   0.002    19     0    10     0   6.47E-5   2.0
     3.50       1.88    0.00733    0.0464    0.0328 0.1844    0.0079  -82.14    1.36  124.57   0.02   84.99   0.01   -0.685   0.0408     0.0596    1.36826  -0.683  0.00425  0.00424       107.91       117.59   -5.08   -5.18     31     37   -0.0024 0.00454   7.96E-4  0.0045   5.67E-4 0.00433   0.00545 0.00431    20     0    10     0   0.00154   2.0
     3.86       1.71    0.00765    0.0496    0.0351 0.2305    0.0083  -81.96    1.16  124.61   0.02   84.99   0.02   -0.507   0.0284      0.056    1.40126  -0.583  0.00486  0.00484       111.31       129.69   -5.12   -5.28     33     45  -0.00455 0.00459   0.00792 0.00464   0.00703 0.00424   0.00289 0.00425    21     0    50     2    0.0141   2.0
     4.24       1.54    0.00685    0.0465    0.0329 0.2514    0.0092  -81.96    1.22  124.61   0.03   84.97   0.02   -0.407   0.0256     0.0628    1.43505  -0.472  0.00483  0.00481       130.62       145.83   -5.29   -5.41     45     57   -0.0056 0.00498     0.013 0.00501   3.89E-4 0.00402     0.013 0.00409    23     0    10     0   2.14E-4   2.0
     4.67        1.4     0.0067    0.0474    0.0335 0.2697    0.0098  -80.79    1.22  124.64   0.03   84.97   0.02   -0.329   0.0242     0.0735    1.46965  -0.362  0.00523  0.00521       139.52       159.99   -5.36   -5.51     51     69  -0.00747 0.00509    0.0172 0.00519  -0.00614 0.00271    0.0191   0.003    25     0    10     0   1.01E-4   2.0
     5.13       1.27    0.00728    0.0535    0.0378 0.2944    0.0109  -79.53    1.26  124.66   0.04   84.97   0.03   -0.281    0.022     0.0783    1.50509  -0.261  0.00623  0.00619       150.04       180.45   -5.44   -5.64     59     89  -0.00468 0.00677    0.0146 0.00682  -0.00552 0.00416    0.0255 0.00457    27     0    10     0   2.05E-4   2.0
