SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       5.07      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  117.44  INDEF   87.03  INDEF   -0.198    INDEF      INDEF    0.00000   -1.76    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       4.97    0.00549     0.028    0.0198 0.8085    0.0250   88.24    1.54  117.44   0.03   87.03   0.01   -0.276    0.238      0.863    0.84958   -1.74   0.0012   0.0012       5.0703       5.0703   -1.76   -1.76      1      1   -0.0132  0.0568   -0.0707  0.0811   -0.0397   0.064   -0.0221   0.055    13     0    10     0   8.65E-4   2.0
     0.57       4.95    0.00736    0.0376    0.0266 0.7860    0.0234   88.37    1.45  117.47   0.03   87.04   0.01   -0.399    0.264       0.66    0.87007   -1.74  0.00162  0.00161       5.0703       5.0703   -1.76   -1.76      1      1  -0.00608  0.0463   -0.0638  0.0612   -0.0358  0.0507   -0.0114  0.0434    13     0    18     0   0.00163   2.0
     0.63       4.83    0.00974    0.0497    0.0351 0.5537    0.0350   89.83    2.59  117.46   0.02   87.08   0.01   -0.671    0.307      0.458    0.89105   -1.71  0.00219  0.00219       5.0703       5.0703   -1.76   -1.76      1      1    0.0303  0.0299   -0.0688  0.0405    0.0142  0.0221   -0.0464  0.0293    13     0    14     0   0.00251   2.0
     0.69       4.68     0.0162    0.0825    0.0583 0.2950    0.0554   87.43    6.52  117.46   0.03   87.13   0.02    -1.01    0.394       0.39    0.91254   -1.68  0.00376  0.00375       5.0703       5.0703   -1.76   -1.76      1      1    0.0427    0.03   -0.0682  0.0358  -0.00563  0.0157   -0.0593  0.0275    13     0    12     0   0.00471   2.0
     0.76       4.51     0.0228     0.116    0.0822 0.0528    0.0692   78.00   39.90  117.46   0.03   87.17   0.03    -1.39    0.436      0.312    0.93454   -1.64   0.0055  0.00548       5.0703       5.0703   -1.76   -1.76      1      1    0.0231  0.0245   -0.0706  0.0315    -0.039  0.0174   -0.0489  0.0193    13     0    10     0    0.0042   2.0
     0.84       4.42     0.0233     0.119    0.0841 0.0375    0.0608   25.22   48.95  117.45   0.03   87.19   0.03     -1.5    0.414      0.276    0.95708   -1.61  0.00575  0.00572       5.0703       5.0703   -1.76   -1.76      1      1   -0.0459  0.0214    0.0557  0.0226    0.0317  0.0166   0.00608  0.0135    13     0    10     0   0.00552   2.0
     0.92       4.29     0.0234      0.12    0.0845 0.0490    0.0522    1.20   32.35  117.45   0.02   87.19   0.03    -1.57    0.352      0.224    0.98016   -1.58  0.00595  0.00591       5.0703       5.0703   -1.76   -1.76      1      1    0.0395  0.0225     0.025  0.0207   0.00599  0.0172   -0.0347  0.0181    13     0    50     2   0.00767   2.0
