SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       11.3      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  156.04  INDEF  126.24  INDEF   -0.997    INDEF      INDEF    0.00000   -2.63    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       10.7     0.0196       0.1    0.0708 0.4141    0.0685   -3.32    6.18  156.04   0.02  126.24   0.03     -1.1    0.583       0.53    0.84958   -2.58  0.00199  0.00198       11.266       11.266   -2.63   -2.63      1      1    0.0377  0.0334     0.139  0.0783   -0.0153  0.0276  -0.00493  0.0253    13     0    10     0   9.06E-5   2.0
     0.57       10.7     0.0214     0.109    0.0771 0.4118    0.0675   -3.69    6.12  156.05   0.02  126.26   0.03    -1.11    0.575      0.519    0.87007   -2.57  0.00217  0.00217       11.266       11.266   -2.63   -2.63      1      1    0.0395  0.0331     0.137  0.0753   -0.0155  0.0269  -0.00693  0.0247    13     0    10     0   3.81E-4   2.0
     0.63       10.6     0.0231     0.118    0.0833 0.4072    0.0661   -4.34    6.04  156.06   0.02  126.29   0.04    -1.12    0.563      0.503    0.89105   -2.57  0.00236  0.00236       11.266       11.266   -2.63   -2.63      1      1    0.0423  0.0326     0.133  0.0709   -0.0145  0.0253  -0.00915  0.0236    13     0    10     0   7.79E-4   2.0
     0.69       10.5     0.0231     0.118    0.0832 0.3826    0.0519   -5.67    4.97  156.07   0.02  126.32   0.03    -1.35    0.469      0.348    0.91254   -2.56  0.00238  0.00237       11.266       11.266   -2.63   -2.63      1      1    0.0413  0.0218     0.101  0.0384  -0.00909  0.0163  -0.00807  0.0155    13     0    10     0   0.00455   2.0
     0.76       10.4     0.0195    0.0995    0.0704 0.2841    0.0381   -8.38    4.63  156.08   0.02  126.34   0.02    -1.64    0.397      0.243    0.93454   -2.54  0.00204  0.00204       11.266       11.266   -2.63   -2.63      1      1     0.049  0.0169    0.0467  0.0162   0.00393  0.0112    -0.013  0.0111    13     0    10     0   0.00365   2.0
     0.84       10.2     0.0216      0.11     0.078 0.1569    0.0408  -15.82    8.36  156.11   0.02  126.34   0.02    -1.82    0.404      0.222    0.95708   -2.52  0.00232  0.00231       11.266       11.266   -2.63   -2.63      1      1    0.0542  0.0188   0.00513  0.0139     0.005  0.0142  -0.00701  0.0136    13     0    10     0   0.00313   2.0
     0.92       9.98     0.0245     0.125    0.0883 0.1102    0.0395  -21.64   11.23  156.12   0.02  126.35   0.02    -2.04    0.394      0.193    0.98016    -2.5  0.00267  0.00266       11.266       11.266   -2.63   -2.63      1      1     0.035   0.017   -0.0218  0.0156   0.00718  0.0146   -0.0166  0.0142    13     0    10     0   0.00461   2.0
