SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       3.55      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF   67.39  INDEF   60.00  INDEF   -0.133    INDEF      INDEF    0.00000   -1.38    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       3.48     0.0022    0.0112   0.00793 0.8042    0.0178  -87.08    1.09   67.39   0.02   60.00   0.00   -0.158    0.107      0.676    0.84958   -1.35  6.86E-4  6.85E-4       3.5508       3.5508   -1.38   -1.38      1      1   -0.0194   0.037    0.0697  0.0577    0.0194  0.0355    -0.027  0.0363    13     0    10     0   3.07E-4   2.0
     0.57       3.47    0.00251    0.0128   0.00906 0.7954    0.0131  -86.76    0.81   67.43   0.02   60.00   0.00   -0.233    0.117      0.503    0.87007   -1.35  7.86E-4  7.86E-4       3.5508       3.5508   -1.38   -1.38      1      1   -0.0143  0.0252    0.0504  0.0344    0.0123   0.024   -0.0173  0.0238    13     0    15     0   6.33E-4   2.0
     0.63       3.43    0.00554    0.0283      0.02 0.6697    0.0337  -86.12    2.24   67.44   0.03   60.00   0.01   -0.294     0.18      0.613    0.89105   -1.34  0.00176  0.00175       3.5508       3.5508   -1.38   -1.38      1      1   -0.0364  0.0478    0.0537  0.0522   0.00558  0.0387   -0.0528   0.049    13     0    10     0   7.35E-4   2.0
     0.69       3.36     0.0062    0.0316    0.0224 0.4937    0.0310  -85.47    2.47   67.44   0.02   60.00   0.01   -0.496    0.163      0.329    0.91254   -1.32  0.00201    0.002       3.5508       3.5508   -1.38   -1.38      1      1   0.00942  0.0257    0.0369  0.0274   -0.0058  0.0181    -0.055  0.0249    13     0    14     0   0.00156   2.0
     0.76       3.27     0.0066    0.0337    0.0238 0.3048    0.0325  -79.15    3.73   67.48   0.02   60.00   0.01   -0.629    0.152      0.241    0.93454   -1.29  0.00219  0.00219       3.5508       3.5508   -1.38   -1.38      1      1  -0.00568  0.0217   4.74E-4  0.0208    0.0123  0.0126   -0.0523  0.0172    13     0    10     0   0.00157   2.0
     0.84       3.18    0.00697    0.0355    0.0251 0.1545    0.0341  -64.84    7.08   67.47   0.02   60.00   0.02   -0.703     0.14        0.2    0.95708   -1.26  0.00238  0.00238       3.5508       3.5508   -1.38   -1.38      1      1  -0.00411  0.0186  -0.00147  0.0179    0.0431  0.0129   -0.0239  0.0103    13     0    10     0   1.65E-4   2.0
     0.92       3.12    0.00841    0.0429    0.0303 0.1248    0.0383  -50.55    9.69   67.47   0.02   60.00   0.02   -0.711     0.15      0.212    0.98016   -1.23  0.00294  0.00293       3.5508       3.5508   -1.38   -1.38      1      1   -0.0233  0.0193  -0.00868  0.0181     0.026  0.0176  -0.00692   0.016    13     0    10     0   0.00107   2.0
