SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       5.37      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  156.71  INDEF  162.35  INDEF    -0.23    INDEF      INDEF    0.00000   -1.83    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.53       5.25    0.00853    0.0435    0.0307 0.2283    0.0999    0.52   14.64  156.71   0.03  162.35   0.03   -0.421    0.258      0.612    0.85475    -1.8  0.00176  0.00176        5.375        5.375   -1.83   -1.83      1      1    -0.108   0.076    0.0956  0.0686   -0.0042  0.0112    -0.108  0.0669    13     0    10     0   3.79E-4   2.0
     0.59       5.24    0.00959    0.0489    0.0346 0.2047    0.0913    0.52   14.72  156.67   0.03  162.39   0.03   -0.485    0.259      0.535    0.87536    -1.8  0.00199  0.00199        5.375        5.375   -1.83   -1.83      1      1   -0.0986  0.0624    0.0809  0.0538  -0.00509  0.0091   -0.0975  0.0528    13     0    15     0   0.00147   2.0
     0.65       5.19     0.0132    0.0673    0.0476 0.0391    0.0899    9.15   69.54  156.58   0.03  162.40   0.03   -0.744    0.354      0.476    0.89646   -1.79  0.00276  0.00275        5.375        5.375   -1.83   -1.83      1      1   -0.0897  0.0537   0.00853  0.0316    0.0523   0.027   -0.0771   0.038    13     0    10     0   8.22E-4   2.0
     0.71       5.15      0.017    0.0869    0.0614 0.0566    0.0863   13.59   46.46  156.58   0.03  162.39   0.03   -0.893    0.357        0.4    0.91808   -1.78   0.0036  0.00359        5.375        5.375   -1.83   -1.83      1      1   -0.0711  0.0456    -0.015  0.0348    0.0778  0.0338   -0.0643  0.0287    13     0    13     0   0.00418   2.0
     0.78       5.08     0.0168    0.0854    0.0604 0.0525    0.0716   17.08   41.47  156.57   0.03  162.39   0.03   -0.968    0.311      0.321    0.94022   -1.77  0.00359  0.00357        5.375        5.375   -1.83   -1.83      1      1   -0.0294  0.0346   -0.0176  0.0325    0.0839  0.0299   -0.0441  0.0188    13     0    10     0   7.58E-4   2.0
     0.86       5.01     0.0193    0.0983    0.0695 0.0551    0.0700   14.50   38.68  156.58   0.03  162.38   0.03    -1.03     0.31      0.301    0.96289   -1.75  0.00419  0.00417        5.375        5.375   -1.83   -1.83      1      1   -0.0198  0.0339   -0.0155  0.0324    0.0677  0.0259   -0.0581  0.0232    13     0    50     2   0.00414   2.0
     0.95       4.92     0.0185    0.0943    0.0667 0.0551    0.0570   14.50   31.51  156.58   0.03  162.37   0.03     -1.1    0.256      0.232    0.98611   -1.73  0.00409  0.00407        5.375        5.375   -1.83   -1.83      1      1   -0.0131  0.0272   -0.0181  0.0263    0.0483  0.0185    -0.049  0.0181    13     0    10     0   0.00487   2.0
