SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       5.39      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF   86.26  INDEF   44.05  INDEF   -0.532    INDEF      INDEF    0.00000   -1.83    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       5.11    0.00975    0.0497    0.0352 0.3542    0.0748  -86.19    7.60   86.26   0.03   44.05   0.02   -0.551    0.304      0.552    0.84958   -1.77  0.00207  0.00207       5.3906       5.3906   -1.83   -1.83      1      1   -0.0485  0.0332     0.143  0.0813   -0.0207  0.0215   -0.0122  0.0186    13     0    10     0   1.18E-4   2.0
     0.57       5.09     0.0105    0.0535    0.0379 0.3586    0.0733  -85.89    7.38   86.29   0.03   44.06   0.02   -0.546    0.298      0.545    0.87007   -1.77  0.00224  0.00224       5.3906       5.3906   -1.83   -1.83      1      1   -0.0497  0.0335     0.141  0.0789   -0.0208  0.0214   -0.0132  0.0188    13     0    10     0   1.01E-4   2.0
     0.63       5.06     0.0113    0.0574    0.0406 0.3647    0.0703  -85.46    6.98   86.32   0.03   44.07   0.02    -0.55     0.29      0.526    0.89105   -1.76  0.00242  0.00241       5.3906       5.3906   -1.83   -1.83      1      1   -0.0496  0.0326     0.135  0.0734   -0.0207   0.021   -0.0139  0.0186    13     0    10     0   6.02E-4   2.0
     0.69       5.01     0.0127    0.0646    0.0457 0.3044    0.0604  -83.67    6.93   86.35   0.03   44.09   0.02   -0.717    0.278      0.387    0.91254   -1.75  0.00275  0.00274       5.3906       5.3906   -1.83   -1.83      1      1   -0.0525   0.029    0.0908  0.0404   -0.0162  0.0206   -0.0128  0.0194    13     0    11     0   0.00216   2.0
     0.76       4.91     0.0108    0.0553    0.0391 0.1643    0.0470  -75.05    9.23   86.35   0.02   44.11   0.02    -0.86    0.223       0.26    0.93454   -1.73   0.0024  0.00239       5.3906       5.3906   -1.83   -1.83      1      1   -0.0514  0.0242   0.00579  0.0195  -0.00498  0.0198   -0.0137  0.0192    13     0    13     0   0.00315   2.0
     0.84       4.82     0.0126     0.064    0.0453 0.0706    0.0473  -58.06   20.55   86.38   0.02   44.13   0.02      -1.    0.219      0.218    0.95708   -1.71  0.00283  0.00283       5.3906       5.3906   -1.83   -1.83      1      1   -0.0297  0.0175   -0.0441  0.0183    0.0173  0.0157  -0.00374  0.0146    13     0    14     0   0.00385   2.0
     0.92       4.75     0.0133    0.0677    0.0479 0.0780    0.0414  -32.46   16.38   86.38   0.02   44.15   0.02    -1.09     0.22      0.202    0.98016   -1.69  0.00304  0.00303       5.3906       5.3906   -1.83   -1.83      1      1    0.0263  0.0196  -0.00879  0.0182   -0.0112  0.0172    0.0216  0.0169    13     0    50     2   0.00211   2.0
