SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     2.12       14.1     0.0217     0.111    0.0783 0.1729    0.0060   81.88    1.13  202.80   0.01  147.26   0.01    -4.79    0.155     0.0323    1.20673   -2.87  0.00167  0.00167       205.31       230.77   -5.78   -5.91     11     13  -0.00694  0.0025  -0.00156 0.00243  -0.00478 0.00133  -0.00468  0.0013    13     0    10     0   8.05E-4   2.0
     2.33       13.1       0.02     0.106    0.0747 0.1676    0.0050   81.19    0.99  202.80   0.01  147.28   0.01     -4.7    0.143     0.0305    1.23583   -2.79  0.00166  0.00166       232.19       329.87   -5.91    -6.3     13     21  -0.00361 0.00263   0.00116 0.00251   0.00297 0.00228   0.00319 0.00215    14     0    10     0   3.94E-4   2.0
     2.57        12.     0.0211     0.115    0.0816 0.1731    0.0051   79.99    0.95  202.80   0.01  147.28   0.01    -4.42    0.168     0.0379    1.26563    -2.7   0.0019   0.0019       307.16       329.87   -6.22    -6.3     19     21   5.38E-4 0.00235  -0.00556  0.0023   1.09E-5  0.0018   0.00513 0.00175    15     0    10     0   0.00151   2.0
     2.82        11.      0.032     0.181     0.128 0.1882    0.0078   80.30    1.32  202.82   0.01  147.30   0.01    -3.87    0.144     0.0373    1.29614   -2.61  0.00315  0.00314       329.87       329.87    -6.3    -6.3     21     21   0.00295  0.0022   -0.0136 0.00224  -9.93E-4 0.00201   0.00305   0.002    16     0    10     0   7.12E-4   2.0
     3.10       9.93     0.0195     0.117    0.0828 0.1857    0.0047   78.97    0.82  202.81   0.01  147.28   0.01    -3.48    0.101      0.029    1.32740   -2.49  0.00213  0.00213       370.67       405.37   -6.42   -6.52     25     29  -0.00542 0.00237  -9.07E-4  0.0023   0.00244 0.00198   0.00427 0.00192    18     0    10     0   7.42E-4   2.0
     3.42       8.87      0.022     0.139    0.0983 0.1878    0.0057   78.44    1.01  202.80   0.01  147.27   0.01    -2.84   0.0931     0.0327    1.35941   -2.37  0.00269  0.00269       426.11        473.6   -6.57   -6.69     31     37  -0.00653 0.00277   0.00525 0.00267   0.00184 0.00263   0.00298 0.00252    20     0    10     0   5.13E-4   2.0
     3.76       7.84     0.0171     0.113    0.0801 0.1793    0.0046   76.64    0.83  202.80   0.01  147.27   0.01    -2.52   0.0692     0.0275    1.39219   -2.24  0.00237  0.00236       474.27       530.77   -6.69   -6.81     37     45  -0.00547 0.00243  -3.06E-4 0.00235   0.00594 0.00194   0.00225 0.00187    22     0    10     0   8.81E-5   2.0
     4.13        6.8     0.0113    0.0782    0.0553 0.1641    0.0034   74.35    0.65  202.79   0.01  147.28   0.01     -2.1   0.0415     0.0197    1.42576   -2.08   0.0018   0.0018       545.55       604.47   -6.84   -6.95     47     57  -0.00319 0.00178   0.00154 0.00175   0.00376 0.00157  -6.80E-4 0.00154    24     0    10     0   1.18E-4   2.0
     4.55       5.91     0.0112    0.0806     0.057 0.1584    0.0035   73.04    0.69  202.79   0.01  147.27   0.01     -1.8   0.0366     0.0203    1.46014   -1.93  0.00206  0.00205       595.43       669.16   -6.94   -7.06     55     69  -0.00372 0.00165   0.00402 0.00166   0.00388 0.00142   0.00122 0.00142    26     0    17     0   0.00435   2.0
     5.00       4.53        0.1     0.789     0.558 0.0254    0.0070  -76.11    8.05  203.00   0.02  147.00   0.02    -1.34    0.253      0.188    1.49535   -1.64   0.0243   0.0238       669.16        722.1   -7.06   -7.15     69     81    0.0112 0.00294   0.00972 0.00275  -0.00665 0.00177  -0.00538 0.00161    31     0    50     2     0.531   2.0
