SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       8.56      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  208.33  INDEF  159.79  INDEF   -0.361    INDEF      INDEF    0.00000   -2.33    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.51       8.38     0.0157    0.0801    0.0566 0.3718    0.0923  -89.82    9.04  208.33   0.04  159.79   0.02   -0.717    0.473       0.66    0.84409   -2.31  0.00204  0.00203       8.5625       8.5625   -2.33   -2.33      1      1     0.119  0.0904     0.107  0.0829  -0.00565  0.0298    -0.105  0.0749    13     0    10     0   0.00295   2.0
     0.56       8.35     0.0183    0.0934     0.066 0.3261    0.1007  -89.82   10.93  208.36   0.04  159.75   0.03   -0.748    0.495      0.661    0.86444    -2.3  0.00238  0.00238       8.5625       8.5625   -2.33   -2.33      1      1      0.13  0.0972     0.103  0.0807  -0.00458  0.0283    -0.106  0.0753    13     0    11     0   0.00463   2.0
     0.61       8.31     0.0209     0.106    0.0752 0.2152    0.1000   89.94   15.43  208.41   0.04  159.68   0.03   -0.907    0.526       0.58    0.88528    -2.3  0.00273  0.00272       8.5625       8.5625   -2.33   -2.33      1      1    -0.106  0.0715   -0.0997  0.0678   0.00556  0.0188    -0.096  0.0584    13     0    11     0   0.00467   2.0
     0.68       8.22      0.025     0.127    0.0901 0.0651    0.0899   89.94   42.25  208.43   0.03  159.60   0.03    -1.31    0.545      0.415    0.90663   -2.29  0.00331   0.0033       8.5625       8.5625   -2.33   -2.33      1      1   -0.0796  0.0458   -0.0586   0.039   -0.0112  0.0107   -0.0911   0.039    13     0    50     2   0.00108   2.0
     0.74       8.13     0.0265     0.135    0.0954 0.0676    0.0757   89.94   34.31  208.44   0.03  159.59   0.03    -1.49    0.503      0.337    0.92849   -2.28  0.00354  0.00353       8.5625       8.5625   -2.33   -2.33      1      1   -0.0513  0.0351   -0.0459  0.0332   -0.0154  0.0124   -0.0856  0.0308    13     0    50     2   0.00738   2.0
     0.82       8.06     0.0331     0.169     0.119 0.1013    0.0796  -85.99   24.53  208.43   0.04  159.59   0.03    -1.56    0.549      0.352    0.95088   -2.27  0.00447  0.00445       8.5625       8.5625   -2.33   -2.33      1      1    0.0408  0.0386    0.0476  0.0383   0.00774  0.0141   -0.0996  0.0375    13     0    10     0   0.00372   2.0
     0.90       7.94     0.0297     0.152     0.107 0.1144    0.0624  -89.95   17.12  208.45   0.03  159.59   0.03     -1.6    0.434      0.271    0.97381   -2.25  0.00407  0.00405       8.5625       8.5625   -2.33   -2.33      1      1    0.0279  0.0315    0.0228    0.03  -0.00919  0.0118   -0.0857  0.0257    13     0    50     2   0.00175   2.0
