SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       3.96      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  208.21  INDEF  115.14  INDEF    -0.37    INDEF      INDEF    0.00000   -1.49    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.55       3.75      0.011    0.0559    0.0395 0.3249    0.1014   83.21   11.04  208.21   0.04  115.14   0.03   -0.454    0.303      0.666    0.86031   -1.44  0.00317  0.00316        3.957        3.957   -1.49   -1.49      1      1    0.0512  0.0443    -0.186   0.127  -0.00752  0.0286   0.00837  0.0274    13     0    10     0   1.86E-4   2.0
     0.60       3.74     0.0126     0.064    0.0453 0.3370    0.1034   82.39   10.93  208.23   0.05  115.14   0.03   -0.456    0.312      0.685    0.88106   -1.43  0.00366  0.00364        3.957        3.957   -1.49   -1.49      1      1    0.0453  0.0439    -0.192   0.135  -0.00692  0.0313   0.00996  0.0303    13     0    10     0   1.57E-4   2.0
     0.66       3.71     0.0143    0.0728    0.0514 0.3410    0.1025   81.65   10.74  208.25   0.05  115.16   0.04   -0.472    0.315      0.666    0.90230   -1.42  0.00418  0.00416        3.957        3.957   -1.49   -1.49      1      1      0.04  0.0417    -0.191   0.131  -0.00496  0.0321    0.0119  0.0315    13     0    10     0   4.09E-4   2.0
     0.73       3.68     0.0157    0.0798    0.0565 0.3275    0.0953   80.61   10.31  208.27   0.05  115.17   0.04   -0.517    0.299      0.578    0.92406   -1.42  0.00463  0.00461        3.957        3.957   -1.49   -1.49      1      1    0.0336  0.0348    -0.176   0.105   0.00251  0.0287    0.0115  0.0282    13     0    10     0   9.76E-4   2.0
     0.80       3.63     0.0165    0.0842    0.0595 0.2654    0.0840   78.55   10.82  208.27   0.05  115.20   0.04   -0.613    0.284      0.463    0.94635    -1.4  0.00495  0.00493        3.957        3.957   -1.49   -1.49      1      1    0.0295  0.0262    -0.143  0.0694    0.0183  0.0231   0.00916   0.021    13     0    10     0   0.00257   2.0
     0.88       3.56     0.0173    0.0884    0.0625 0.1765    0.0842   73.35   15.50  208.25   0.04  115.24   0.04   -0.656    0.273      0.416    0.96917   -1.38   0.0053  0.00528        3.957        3.957   -1.49   -1.49      1      1    0.0171  0.0247    -0.123  0.0561    0.0245  0.0247   0.00345  0.0215    13     0    10     0   2.85E-4   2.0
     0.97       3.49     0.0167    0.0853    0.0603 0.1445    0.0646   74.31   14.27  208.24   0.04  115.25   0.03   -0.779    0.228      0.293    0.99254   -1.36  0.00522  0.00519        3.957        3.957   -1.49   -1.49      1      1    0.0274  0.0223   -0.0808   0.031    0.0145  0.0208  -3.57E-4  0.0194    13     0    10     0   4.56E-4   2.0
