SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       1.99      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  197.03  INDEF  123.55  INDEF  -0.0747    INDEF      INDEF    0.00000  -0.749    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.55       1.95    0.00208    0.0106   0.00751 0.7944    0.0282   -3.06    1.74  197.03   0.01  123.55   0.04  -0.0946   0.0814      0.861    0.86031  -0.727  0.00116  0.00116       1.9941       1.9941  -0.749  -0.749      1      1   -0.0126  0.0597   -0.0736  0.0848   -0.0383  0.0659   -0.0274  0.0593    13     0    10     0   1.29E-4   2.0
     0.60       1.94    0.00317    0.0162    0.0114 0.7232    0.0298   -3.06    1.91  197.05   0.01  123.54   0.03   -0.166   0.0943      0.567    0.88106  -0.719  0.00178  0.00178       1.9941       1.9941  -0.749  -0.749      1      1  -0.00853   0.047   -0.0528   0.054   -0.0309  0.0485   -0.0261  0.0456    13     0    13     0   9.00E-4   2.0
     0.66       1.91    0.00289    0.0147    0.0104 0.5667    0.0296   -2.69    2.16  197.07   0.01  123.52   0.02   -0.217   0.0906      0.417    0.90230    -0.7  0.00165  0.00164       1.9941       1.9941  -0.749  -0.749      1      1    0.0208  0.0283    -0.046  0.0322    0.0185  0.0209   -0.0529  0.0288    13     0    14     0   7.76E-4   2.0
     0.73       1.85     0.0046    0.0235    0.0166 0.3354    0.0456   -8.64    4.84  197.11   0.02  123.51   0.02   -0.313    0.108      0.345    0.92406  -0.671   0.0027  0.00269       1.9941       1.9941  -0.749  -0.749      1      1    0.0409  0.0283   -0.0464  0.0285  -0.00917  0.0139   -0.0618  0.0249    13     0    10     0   0.00134   2.0
     0.80       1.81    0.00615    0.0313    0.0222 0.1695    0.0543  -13.51   10.36  197.13   0.02  123.51   0.03   -0.398    0.118      0.296    0.94635  -0.643   0.0037  0.00368       1.9941       1.9941  -0.749  -0.749      1      1    0.0321  0.0248   -0.0509  0.0267   -0.0303  0.0119   -0.0598  0.0192    13     0    14     0   0.00164   2.0
     0.88       1.77    0.00516    0.0263    0.0186 0.1027    0.0431  -26.98   13.11  197.16   0.02  123.51   0.02   -0.415   0.0933      0.225    0.96917  -0.617  0.00318  0.00317       1.9941       1.9941  -0.749  -0.749      1      1   0.00495  0.0171   -0.0433   0.019   -0.0144  0.0154   -0.0205  0.0151    13     0    10     0   2.55E-4   2.0
     0.97       1.73    0.00519    0.0265    0.0187 0.0933    0.0346  -35.42   11.53  197.17   0.02  123.50   0.02   -0.478   0.0756      0.158    0.99254  -0.593  0.00327  0.00326       1.9941       1.9941  -0.749  -0.749      1      1   -0.0227  0.0146   -0.0243  0.0141   -0.0107  0.0138   0.00516  0.0131    13     0    10     0   4.63E-4   2.0
