SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       8.92      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  180.14  INDEF  155.00  INDEF    -1.28    INDEF      INDEF    0.00000   -2.38    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.55       8.22     0.0161    0.0822    0.0582 0.1654    0.0670   78.06   13.09  180.14   0.02  155.00   0.02    -1.25    0.446      0.357    0.86031   -2.29  0.00213  0.00213       8.9219       8.9219   -2.38   -2.38      1      1   -0.0498  0.0314   -0.0669  0.0345    0.0524  0.0216    0.0527  0.0215    13     0    10     0   5.47E-4   2.0
     0.60       8.16     0.0175    0.0891     0.063 0.1691    0.0665   77.58   12.72  180.16   0.02  155.00   0.02    -1.24    0.439      0.355    0.88106   -2.28  0.00233  0.00232       8.9219       8.9219   -2.38   -2.38      1      1    -0.053  0.0314   -0.0663  0.0338    0.0527  0.0216    0.0496  0.0204    13     0    10     0   2.99E-4   2.0
     0.66       8.09     0.0191    0.0972    0.0687 0.1732    0.0664   76.85   12.43  180.17   0.03  155.00   0.02    -1.22    0.434      0.355    0.90230   -2.27  0.00256  0.00256       8.9219       8.9219   -2.38   -2.38      1      1    -0.058  0.0321    -0.065  0.0331    0.0537   0.022    0.0455  0.0192    13     0    10     0   0.00141   2.0
     0.73       8.01     0.0208     0.106    0.0749 0.1809    0.0662   76.04   11.91  180.19   0.03  155.00   0.03     -1.2    0.429      0.357    0.92406   -2.26  0.00282  0.00281       8.9219       8.9219   -2.38   -2.38      1      1   -0.0627  0.0328   -0.0646  0.0326    0.0544  0.0224    0.0407   0.018    13     0    10     0   4.88E-4   2.0
     0.80       7.93     0.0229     0.117    0.0825 0.1868    0.0598   75.03   10.47  180.21   0.03  154.99   0.03    -1.32    0.397        0.3    0.94635   -2.25  0.00314  0.00313       8.9219       8.9219   -2.38   -2.38      1      1   -0.0617  0.0282   -0.0569  0.0266    0.0498  0.0183    0.0317  0.0138    13     0    10     0   2.15E-4   2.0
     0.88       7.82     0.0216      0.11    0.0777 0.1683    0.0478   71.22    9.18  180.22   0.03  154.99   0.02    -1.45    0.328      0.226    0.96917   -2.23    0.003  0.00299       8.9219       8.9219   -2.38   -2.38      1      1   -0.0525  0.0209   -0.0371  0.0185     0.043   0.014    0.0115 0.00995    13     0    10     0    0.0012   2.0
     0.97       7.68     0.0193    0.0984    0.0696 0.1507    0.0384   66.48    8.16  180.21   0.02  155.00   0.02     -1.5    0.284      0.189    0.99254   -2.21  0.00273  0.00272       8.9219       8.9219   -2.38   -2.38      1      1   -0.0375   0.018   -0.0165  0.0162     0.039  0.0117   -0.0173 0.00927    13     0    10     0   0.00123   2.0
