SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00       19.2      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  181.20  INDEF  145.35  INDEF   -0.927    INDEF      INDEF    0.00000   -3.21    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.55       18.7     0.0463     0.236     0.167 0.4103    0.0927    5.15    8.42  181.20   0.03  145.35   0.04    -1.84     1.29      0.704    0.86031   -3.18   0.0027  0.00269       19.188       19.188   -3.21   -3.21      1      1    0.0746  0.0729     0.144   0.113   0.00944  0.0408   -0.0924  0.0755    13     0    10     0   0.00432   2.0
     0.60       18.6     0.0513     0.262     0.185 0.3946    0.0868    7.76    8.12  181.23   0.03  145.38   0.04    -2.02     1.27      0.629    0.88106   -3.17    0.003  0.00299       19.188       19.188   -3.21   -3.21      1      1    0.0517  0.0548     0.144  0.0999    0.0176  0.0378   -0.0747  0.0583    13     0    10     0     0.014   2.0
     0.66       18.4     0.0565     0.288     0.204 0.2601    0.0873   15.01   11.43  181.30   0.03  145.40   0.04    -2.46     1.29      0.524    0.90230   -3.16  0.00333  0.00332       19.188       19.188   -3.21   -3.21      1      1  -0.00309  0.0299     0.139  0.0784     0.067  0.0381   -0.0429  0.0266    13     0    10     0    0.0033   2.0
     0.73       18.3     0.0781     0.398     0.282 0.2220    0.0981   32.03   14.73  181.35   0.04  145.40   0.04     -2.9     1.54      0.532    0.92406   -3.16  0.00464  0.00462       19.188       19.188   -3.21   -3.21      1      1    -0.112  0.0675       0.1  0.0616    0.0789  0.0454    0.0355  0.0251    13     0    10     0    0.0157   2.0
     0.80        18.     0.0776     0.396      0.28 0.1556    0.0752   34.12   15.52  181.38   0.03  145.41   0.03    -3.71     1.33      0.358    0.94635   -3.14  0.00469  0.00467       19.188       19.188   -3.21   -3.21      1      1   -0.0648  0.0386    0.0535  0.0353     0.065  0.0267    0.0607  0.0251    13     0    10     0   0.00334   2.0
     0.88       17.7     0.0679     0.346     0.245 0.1327    0.0565   29.63   13.52  181.38   0.03  145.41   0.03    -4.03     1.02      0.253    0.96917   -3.12  0.00419  0.00417       19.188       19.188   -3.21   -3.21      1      1   -0.0276  0.0274    0.0342  0.0269    0.0704  0.0198    0.0385  0.0128    13     0    10     0   4.24E-4   2.0
     0.97       17.3     0.0588       0.3     0.212 0.1274    0.0441   29.20   10.95  181.38   0.02  145.41   0.02    -4.09     0.81      0.198    0.99254   -3.09   0.0037  0.00369       19.188       19.188   -3.21   -3.21      1      1   -0.0149  0.0222    0.0194  0.0215    0.0562  0.0136     0.034  0.0101    13     0    10     0   1.35E-4   2.0
