SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     2.18       1.01     0.0054    0.0275    0.0195 0.2454    0.0318  -31.26    4.34  286.15   0.04  172.02   0.04   -0.201   0.0331      0.164    1.21459 -0.0121  0.00581  0.00578       10.957       14.891    -2.6   -2.93      9     13   -0.0437  0.0152   6.46E-4  0.0132    0.0182 0.00967    0.0248 0.00994    13     0    10     0   4.79E-6   2.0
     2.39      0.969    0.00449    0.0238    0.0168 0.2496    0.0236  -31.07    3.27  286.17   0.03  172.01   0.04   -0.198   0.0242      0.122    1.24388  0.0341  0.00504  0.00502       15.035       22.348   -2.94   -3.37     13     21   -0.0381  0.0107  -0.00186 0.00908    0.0143 0.00724    0.0157 0.00684    14     0    10     0   1.28E-5   2.0
     2.63      0.923    0.00351    0.0192    0.0136 0.2530    0.0188  -31.63    2.57  286.17   0.03  171.99   0.03   -0.173   0.0207      0.119    1.27387  0.0867  0.00413  0.00412       18.831       22.348   -3.19   -3.37     17     21   -0.0316 0.00852  -0.00728 0.00725   0.00826 0.00426    0.0194 0.00454    15     0    10     0   9.16E-6   2.0
     2.90      0.878    0.00385    0.0218    0.0154 0.2537    0.0172  -33.09    2.29  286.17   0.03  171.98   0.03   -0.188   0.0203      0.108    1.30459   0.141  0.00477  0.00475       22.362        25.53   -3.37   -3.52     21     25   -0.0227 0.00849    -0.013 0.00803   0.00475 0.00635    0.0173 0.00643    16     0    10     0   1.42E-4   2.0
     3.19      0.828    0.00489    0.0285    0.0202 0.2628    0.0213  -32.56    2.68  286.20   0.04  171.97   0.04   -0.173   0.0208       0.12    1.33605   0.205  0.00643  0.00639       24.109       34.382   -3.46   -3.84     23     37   -0.0224  0.0119   -0.0116  0.0117   0.00251  0.0105    0.0181  0.0107    17     0    10     0   3.41E-5   2.0
     3.50      0.774    0.00433    0.0267    0.0189 0.2653    0.0167  -32.36    2.12  286.21   0.03  171.97   0.04   -0.172   0.0186      0.108    1.36826   0.278  0.00609  0.00606       27.364       34.382   -3.59   -3.84     27     37    -0.019 0.00994  -0.00127 0.00958   0.00916 0.00922   0.00908 0.00909    19     0    10     0   3.12E-5   2.0
     3.86      0.716    0.00399    0.0259    0.0183 0.2701    0.0142  -30.52    1.80  286.25   0.03  171.95   0.03   -0.165   0.0144      0.087    1.40126   0.362  0.00607  0.00603       33.213       39.581    -3.8   -3.99     35     45    -0.017 0.00867  -9.49E-4 0.00834    0.0102 0.00824  -1.49E-4   0.008    21     0    10     0   5.00E-5   2.0
     4.24      0.655    0.00347    0.0235    0.0166 0.2717    0.0121  -28.83    1.52  286.25   0.03  171.90   0.03   -0.152   0.0113     0.0741    1.43505   0.459  0.00576  0.00573       37.412       46.359   -3.93   -4.17     41     57   -0.0154 0.00733   0.00409  0.0071    0.0195 0.00593  -0.00221 0.00564    23     0    10     0   7.63E-5   2.0
     4.67      0.595    0.00295    0.0209    0.0147 0.2790    0.0106  -28.24    1.30  286.26   0.03  171.85   0.03   -0.131     0.01     0.0761    1.46965   0.563  0.00539  0.00537       42.416       52.491   -4.07    -4.3     49     69   -0.0121 0.00673  -0.00236 0.00658     0.017 0.00565   0.00474 0.00544    25     0    10     0   3.11E-5   2.0
     5.13      0.546     0.0033    0.0242    0.0171 0.2993    0.0130  -29.11    1.49  286.29   0.04  171.84   0.04   -0.106   0.0134      0.127    1.50509   0.657  0.00658  0.00654       45.784       61.152   -4.15   -4.47     55     89   -0.0166 0.00855  -0.00423 0.00822     0.013 0.00712    0.0179 0.00723    27     0    10     0   1.99E-4   2.0
