SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     0.00        4.2      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF   INDEF  283.96  INDEF  162.09  INDEF   -0.498    INDEF      INDEF    0.00000   -1.56    INDEF    INDEF        INDEF        INDEF   INDEF   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
     0.52       3.94    0.00818    0.0417    0.0295 0.3221    0.0722   -7.12    7.92  283.96   0.02  162.09   0.03   -0.502    0.229      0.455    0.84958   -1.49  0.00226  0.00225       4.1953       4.1953   -1.56   -1.56      1      1   0.00366  0.0371    0.0992  0.0575    0.0424  0.0296    0.0816  0.0429    13     0    10     0   3.52E-5   2.0
     0.57       3.91    0.00866    0.0442    0.0312 0.3208    0.0700   -7.91    7.70  283.96   0.02  162.10   0.03     -0.5     0.22      0.439    0.87007   -1.48  0.00241   0.0024       4.1953       4.1953   -1.56   -1.56      1      1   0.00257  0.0359    0.0957  0.0544    0.0472    0.03    0.0764  0.0394    13     0    10     0   5.09E-5   2.0
     0.63       3.88    0.00916    0.0467     0.033 0.3202    0.0677   -8.77    7.46  283.96   0.02  162.10   0.03   -0.498    0.211      0.424    0.89105   -1.47  0.00256  0.00256       4.1953       4.1953   -1.56   -1.56      1      1   0.00151  0.0348    0.0921  0.0514    0.0524  0.0304    0.0707   0.036    13     0    10     0   3.96E-5   2.0
     0.69       3.85    0.00968    0.0494    0.0349 0.3200    0.0655   -9.69    7.22  283.95   0.02  162.11   0.03   -0.495    0.203       0.41    0.91254   -1.46  0.00273  0.00273       4.1953       4.1953   -1.56   -1.56      1      1   4.98E-4  0.0339    0.0884  0.0487    0.0577   0.031    0.0647  0.0327    13     0    10     0   2.73E-5   2.0
     0.76       3.82     0.0102    0.0522    0.0369 0.3207    0.0635  -10.66    6.98  283.95   0.03  162.12   0.04    -0.49    0.195      0.398    0.93454   -1.45  0.00292  0.00291       4.1953       4.1953   -1.56   -1.56      1      1  -4.95E-4  0.0332    0.0846  0.0463    0.0632  0.0316    0.0584  0.0296    13     0    10     0   4.85E-5   2.0
     0.84       3.78     0.0108    0.0553    0.0391 0.3221    0.0593  -11.67    6.50  283.94   0.03  162.12   0.04   -0.504     0.18      0.356    0.95708   -1.44  0.00312  0.00311       4.1953       4.1953   -1.56   -1.56      1      1  -0.00131  0.0314    0.0779   0.041    0.0661  0.0295    0.0501  0.0246    13     0    10     0   4.11E-5   2.0
     0.92       3.74     0.0108     0.055    0.0389 0.3161    0.0515  -13.00    5.74  283.93   0.03  162.12   0.03   -0.529    0.157      0.296    0.98016   -1.43  0.00314  0.00313       4.1953       4.1953   -1.56   -1.56      1      1  -0.00483   0.028    0.0633  0.0328    0.0676  0.0246    0.0371  0.0175    13     0    10     0   1.01E-4   2.0
