SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
pixel                                                            degrees degrees   pixel  pixel   pixel  pixel                              pixel**1/4                                                                                                                                                                                             pixel

     2.18       3.73    0.00598    0.0317    0.0224 0.0213    0.0077   65.89   10.83  193.01   0.01  175.83   0.01    -1.17   0.0509     0.0436    1.21459   -1.43  0.00174  0.00174       61.512       61.512   -4.47   -4.47     13     13  -3.19E-4 0.00357  -0.00287 0.00343   7.69E-4 0.00242  -0.00833 0.00233    14     0    34     0   0.00167   2.0
     2.39       3.49    0.00833    0.0456    0.0322 0.0326    0.0105   64.10    9.47  193.00   0.01  175.82   0.01    -1.07    0.054     0.0506    1.24388   -1.36  0.00259  0.00258       90.488       90.488   -4.89   -4.89     21     21   0.00589 0.00397  -0.00861 0.00393  -6.20E-4 0.00341  -0.00686 0.00339    15     0    47     0    0.0016   2.0
     2.63       3.23    0.00966    0.0563    0.0398 0.0289    0.0098   53.81   10.26  192.99   0.01  175.81   0.01   -0.998   0.0565     0.0566    1.27387   -1.27  0.00325  0.00324       90.488       90.488   -4.89   -4.89     21     21  -0.00106 0.00376    -0.011 0.00364  -0.00719 0.00327  -4.20E-4 0.00308    17     0    50     2    0.0221   2.0
     2.90       2.96     0.0113    0.0679     0.048 0.0289    0.0133   53.81   13.47  192.99   0.02  175.81   0.02   -0.919   0.0479     0.0522    1.30459   -1.18  0.00415  0.00413       96.582       102.56   -4.96   -5.03     23     25   6.48E-4 0.00514   -0.0147 0.00518  -0.00897 0.00437   0.00571 0.00434    18     0    30     0   0.00118   2.0
     3.19        2.7     0.0092    0.0582    0.0411 0.0313    0.0116   44.81   10.95  192.97   0.02  175.81   0.02   -0.761   0.0329     0.0432    1.33605   -1.08   0.0037  0.00369       124.55       135.14   -5.24   -5.33     33     37    0.0018 0.00455   -0.0139 0.00451   0.00125 0.00372    0.0106 0.00368    20     0    10     0   7.59E-4   2.0
     3.50       2.47    0.00589    0.0391    0.0276 0.0368    0.0076   52.79    6.13  192.97   0.01  175.81   0.01   -0.665   0.0237     0.0357    1.36826  -0.981  0.00259  0.00259       135.14       135.14   -5.33   -5.33     37     37   0.00805 0.00314  -0.00468 0.00307   8.37E-4 0.00307    0.0024 0.00301    22     0    10     0   1.94E-4   2.0
     3.86       2.23    0.00486    0.0337    0.0238 0.0358    0.0065   50.82    5.30  192.97   0.01  175.83   0.01   -0.584   0.0193      0.033    1.40126  -0.871  0.00237  0.00236       153.86       153.86   -5.47   -5.47     45     45   0.00694 0.00265  -0.00462 0.00262   0.00118 0.00253   0.00316 0.00251    24     0    10     0   1.03E-4   2.0
     4.24         2.    0.00639     0.047    0.0332 0.0322    0.0093   59.90    8.63  192.97   0.02  175.84   0.02   -0.477   0.0196     0.0411    1.43505  -0.753  0.00348  0.00346       174.43       178.44    -5.6   -5.63     55     57    0.0127 0.00398  -7.33E-4 0.00383  -0.00538 0.00377   0.00232 0.00365    27     0    10     0   1.69E-4   2.0
     4.67        1.8    0.00466    0.0355    0.0251 0.0282    0.0073   65.49    7.51  192.95   0.02  175.86   0.02   -0.407   0.0144     0.0355    1.46965  -0.635  0.00282  0.00282       201.02       201.02   -5.76   -5.76     69     69   0.00934  0.0031   0.00196 0.00307   3.98E-5 0.00307   0.00157 0.00306    29     0    10     0   5.04E-4   2.0
     5.13       1.61    0.00364    0.0291    0.0206 0.0359    0.0062   58.97    5.09  192.92   0.02  175.90   0.02   -0.332   0.0126      0.038    1.50509  -0.518  0.00246  0.00245       214.18       233.19   -5.83   -5.92     77     89  -3.24E-5 0.00284  -0.00708 0.00282   0.00286 0.00247   0.00701 0.00245    32     0    10     0   9.46E-4   2.0
