SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR     PA PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR    RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER STOP     A_BIG SAREA
pixel                                                         degrees degrees   pixel  pixel   pixel  pixel                        pixel**1/4                                                                                                                                                                                      pixel

     2.33       6.11      0.171     0.906     0.641 0.0827 0.0081  45.86   2.91  235.00   0.01  123.00   0.01    -2.31  0.953  0.412 1.23583   -1.97  0.0309    0.03       139.84       163.58   -5.36   -5.53     17     21   0.00469 0.00384  -0.00546 0.00401  -0.00795 0.00395  -0.00211 0.00237    14     0  50  2    0.0364   2.0
     2.57       5.57      0.142     0.801     0.566 0.0827 0.0110  45.86   4.12  235.00   0.02  123.00   0.01    -2.12  0.724  0.341 1.26563   -1.86  0.0279  0.0272       163.58       163.58   -5.53   -5.53     21     21   0.00923 0.00521   -0.0103 0.00531   -0.0064 0.00343  -0.00928 0.00405    16     0  10  0   0.00586   2.0
     2.82       5.07      0.118     0.689     0.487 0.0978 0.0078  42.07   2.43  235.00   0.01  123.00   0.01    -1.93  0.534  0.277 1.29614   -1.76  0.0256   0.025       163.58       163.58   -5.53   -5.53     21     21   0.00895   0.004  -0.00334 0.00324  -0.00241  0.0028  -0.00526 0.00306    17     0  10  0   3.93E-6   2.0
     3.10       4.58     0.0947     0.584     0.413 0.1120 0.0098  39.31   2.75  235.00   0.02  123.00   0.02     -1.6  0.392  0.245 1.32740   -1.65  0.0227  0.0222       173.55       199.58    -5.6   -5.75     23     29    0.0107 0.00531   4.58E-4 0.00446  -1.96E-4 0.00463   6.28E-4 0.00445    19     0  10  0   6.09E-5   2.0
     3.42       4.12     0.0794     0.502     0.355 0.1289 0.0071  38.75   1.70  235.00   0.01  123.00   0.01    -1.25  0.302  0.241 1.35941   -1.54  0.0212  0.0208       216.81       232.43   -5.84   -5.92     33     37    0.0119 0.00383   0.00122 0.00256   0.00211 0.00251   0.00176 0.00249    20     0  10  0   5.67E-4   2.0
     3.76       3.74     0.0662     0.439      0.31 0.1483 0.0049  36.76   1.03  235.00   0.01  123.00   0.01    -1.12  0.226  0.202 1.39219   -1.43  0.0194   0.019       247.91       260.65   -5.99   -6.04     41     45   0.00648 0.00264   4.92E-4 0.00227  -0.00204 0.00203  -0.00448 0.00216    22     0  10  0   2.39E-6   2.0
     4.13       3.35     0.0541     0.375     0.265 0.1585 0.0042  34.80   0.84  235.00   0.01  123.00   0.01    -0.95  0.167  0.176 1.42576   -1.31  0.0177  0.0174       247.91       296.84   -5.99   -6.18     41     57   5.56E-4 0.00239  -0.00124 0.00238   -0.0043 0.00214  -0.00409 0.00211    24     0  10  0   3.15E-4   2.0
     4.55       2.99      0.043      0.31     0.219 0.1708 0.0056  32.53   1.03  235.00   0.01  123.00   0.01   -0.751  0.121  0.161 1.46014   -1.19  0.0157  0.0155       291.94       329.25   -6.16   -6.29     55     69  -0.00291 0.00313  -0.00329 0.00313   -0.0083 0.00287   0.00155 0.00255    26     0  10  0   4.77E-5   2.0
     5.00       2.69     0.0357     0.267     0.189 0.1902 0.0063  32.06   1.05  235.00   0.02  123.00   0.02   -0.615  0.093  0.151 1.49535   -1.07  0.0145  0.0143       309.33        357.3   -6.23   -6.38     61     81   0.00111 0.00362  -0.00466 0.00371   -0.0125 0.00322   0.00103 0.00263    28     0  20  0   3.90E-7   2.0
     5.50       2.42     0.0302     0.238     0.168 0.2061 0.0067  32.78   1.05  235.00   0.02  123.00   0.02   -0.514  0.071  0.138 1.53141  -0.959  0.0136  0.0135       350.13         392.   -6.36   -6.48     77     97   0.00682 0.00391  -0.00467 0.00381  -0.00768 0.00363   0.00271 0.00345    31     0  10  0   4.91E-6   2.0
