SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR     PA PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR    RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER STOP     A_BIG SAREA
pixel                                                         degrees degrees   pixel  pixel   pixel  pixel                        pixel**1/4                                                                                                                                                                                      pixel

     2.12       6.62     0.0141    0.0719    0.0508 0.0699 0.0081  42.04   3.46  234.67   0.01  123.04   0.01    -2.64  0.132   0.05 1.20673   -2.05 0.00231 0.00231       114.63       114.63   -5.15   -5.15     13     13  -0.00639 0.00298  -0.00497 0.00295  -0.00553  0.0024   1.50E-4 0.00238    13     0  10  0   4.58E-4   2.0
     2.33       6.08     0.0232     0.123    0.0867 0.0728 0.0126  41.44   5.12  234.66   0.02  123.06   0.02    -2.46  0.144 0.0586 1.23583   -1.96 0.00415 0.00413       139.84       163.58   -5.36   -5.53     17     21   1.54E-4 0.00456   -0.0136 0.00465   -0.0117 0.00297  -9.23E-4 0.00289    14     0  50  2    0.0163   2.0
     2.57       5.55     0.0144    0.0814    0.0575 0.0878 0.0079  36.40   2.79  234.69   0.01  123.04   0.01     -2.1  0.108 0.0515 1.26563   -1.86 0.00282 0.00281       163.58       163.58   -5.53   -5.53     21     21   0.00918 0.00239  -0.00771 0.00228  -0.00505 0.00186   0.00139 0.00175    16     0  10  0   0.00313   2.0
     2.82       5.07     0.0179     0.104    0.0737 0.1072 0.0098  35.23   2.83  234.70   0.01  123.04   0.02    -1.86 0.0874  0.047 1.29614   -1.76 0.00383 0.00382       163.58       163.58   -5.53   -5.53     21     21   0.00949 0.00446  -0.00315 0.00437  -0.00528 0.00415   0.00258 0.00408    17     0  10  0   8.68E-4   2.0
     3.10       4.57     0.0167     0.103    0.0727 0.1189 0.0099  37.45   2.62  234.71   0.02  123.04   0.02    -1.51 0.0724 0.0479 1.32740   -1.65 0.00397 0.00396       173.55       199.58    -5.6   -5.75     23     29    0.0131 0.00432   0.00293 0.00411   0.00132 0.00424   0.00202 0.00406    19     0  10  0   4.31E-4   2.0
     3.42       4.14     0.0134     0.085    0.0601 0.1325 0.0082  37.06   1.90  234.70   0.01  123.04   0.02    -1.33 0.0545 0.0411 1.35941   -1.54 0.00353 0.00352       216.81       232.43   -5.84   -5.92     33     37    0.0131  0.0031    0.0025 0.00305  -6.73E-4 0.00294  -0.00321 0.00294    20     0  10  0   9.45E-4   2.0
     3.76       3.74    0.00811    0.0538     0.038 0.1504 0.0051  32.95   1.06  234.69   0.01  123.05   0.01    -1.13 0.0298 0.0263 1.39219   -1.43 0.00236 0.00235       247.91       260.65   -5.99   -6.04     41     45    0.0069 0.00229  -0.00282 0.00225  -0.00558 0.00189  -3.29E-4 0.00186    22     0  10  0   1.70E-4   2.0
     4.13       3.34    0.00634    0.0439    0.0311 0.1600 0.0043  32.02   0.85  234.69   0.01  123.06   0.01   -0.925 0.0254 0.0275 1.42576   -1.31 0.00206 0.00206       247.91       296.84   -5.99   -6.18     41     57  -0.00429 0.00221  -0.00262 0.00219  -0.00585 0.00181  -3.12E-4 0.00178    24     0  10  0   4.42E-4   2.0
     4.55       2.99    0.00695    0.0501    0.0354 0.1733 0.0051  32.02   0.94  234.70   0.01  123.08   0.01   -0.757  0.026 0.0344 1.46014   -1.19 0.00252 0.00252       286.04       329.25   -6.14   -6.29     53     69  -0.00721 0.00257  -0.00172 0.00255  -0.00825 0.00181  -0.00288 0.00179    26     0  10  0   2.48E-4   2.0
     5.00        2.7     0.0076    0.0569    0.0402 0.1929 0.0060  31.68   0.99  234.68   0.02  123.08   0.02   -0.623 0.0212  0.034 1.49535   -1.08 0.00307 0.00306       309.33        357.3   -6.23   -6.38     61     81   3.43E-5 0.00343  -0.00515 0.00345   -0.0103 0.00276  -0.00104 0.00275    28     0  20  0   2.37E-5   2.0
